Date,Time (UTC),Datetime,Air Temperature,Air Temperature Quality,Precipitation Amount,Precipitation Amount Quality,Wind Direction,Wind Direction Quality,Wind Speed,Wind Speed Quality,Relative Humidity,Relative Humidity Quality,Global Irradiance (Swedish stations) W/m²,Global Irradiance Quality,Sunshine Duration (s),Sunshine Duration Quality,Hour sin,Hour cos,Day of Year sin,Day of Year cos,Month sin,Month cos,HVAC Mode,Temp Set Point
2020-01-01,00:00:00,2020-01-01 00:00:00,2.0,0.0,6.938893903907228e-18,1.3552527156068805e-20,250.0,0.0,3.0,-1.3552527156068805e-20,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,17
2020-01-01,01:00:00,2020-01-01 01:00:00,2.2,0.0,6.938893903907228e-18,1.3552527156068805e-20,250.0,0.0,3.0,-1.3552527156068805e-20,64.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,17
2020-01-01,02:00:00,2020-01-01 02:00:00,2.2,0.0,6.938893903907228e-18,1.3552527156068805e-20,240.0,0.0,3.0,-1.3552527156068805e-20,64.0,0.0,0.0,0.0,0.0,0.0,0.4999999999999999,0.8660254037844386,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,17
2020-01-01,03:00:00,2020-01-01 03:00:00,1.6000000000000005,0.0,6.938893903907228e-18,1.3552527156068805e-20,240.0,0.0,3.0,-1.3552527156068805e-20,70.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,17
2020-01-01,04:00:00,2020-01-01 04:00:00,1.5,0.0,6.938893903907228e-18,1.3552527156068805e-20,230.0,0.0,3.0,-1.3552527156068805e-20,74.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,17
2020-01-01,05:00:00,2020-01-01 05:00:00,1.8999999999999995,0.0,6.938893903907228e-18,1.3552527156068805e-20,230.0,0.0,4.0,-1.3552527156068805e-20,74.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,17
2020-01-01,06:00:00,2020-01-01 06:00:00,1.8999999999999995,0.0,6.938893903907228e-18,1.3552527156068805e-20,240.0,0.0,4.0,-1.3552527156068805e-20,76.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736767e-17,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,17
2020-01-01,07:00:00,2020-01-01 07:00:00,2.1000000000000005,0.0,6.938893903907228e-18,1.3552527156068805e-20,240.0,0.0,5.0,-1.3552527156068805e-20,75.0,0.0,0.01999999999999602,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,21
2020-01-01,08:00:00,2020-01-01 08:00:00,2.8,0.0,6.938893903907228e-18,1.3552527156068805e-20,240.0,0.0,5.0,-1.3552527156068805e-20,77.0,0.0,1.9099999999999824,0.0,0.0,0.0,0.8660254037844386,-0.49999999999999983,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,21
2020-01-01,09:00:00,2020-01-01 09:00:00,3.5,0.0,6.938893903907228e-18,1.3552527156068805e-20,250.0,0.0,4.0,-1.3552527156068805e-20,81.0,0.0,13.150000000000006,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,21
2020-01-01,10:00:00,2020-01-01 10:00:00,4.4,0.0,6.938893903907228e-18,1.3552527156068805e-20,260.0,0.0,4.0,-1.3552527156068805e-20,81.0,0.0,36.239999999999995,0.0,0.0,0.0,0.4999999999999999,-0.8660254037844386,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,21
2020-01-01,11:00:00,2020-01-01 11:00:00,4.7,0.0,6.938893903907228e-18,1.3552527156068805e-20,250.0,0.0,5.0,-1.3552527156068805e-20,80.0,0.0,48.67999999999999,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,21
2020-01-01,12:00:00,2020-01-01 12:00:00,4.7,0.0,6.938893903907228e-18,1.3552527156068805e-20,250.0,0.0,6.0,-1.3552527156068805e-20,79.0,0.0,41.72,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,21
2020-01-01,13:00:00,2020-01-01 13:00:00,4.7,0.0,6.938893903907228e-18,1.3552527156068805e-20,260.0,0.0,6.0,-1.3552527156068805e-20,78.0,0.0,22.33,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,0.017213356155834685,0.9998518392091162,0.49999999999999994,0.8660254037844387,Heating,21
